pdf_filename,nanomaterial_types,nanomaterial_names,primary_nanomaterial,primary_nano_type,particle_size_nm,particle_size_range,zeta_potential_mV,pzc_value,tumor_types,primary_tumor_type,injection_methods,primary_injection_method,injection_dose_mg_kg,injection_frequency,ultrasound_frequency_MHz,ultrasound_power_W_cm2,treatment_time_min,treatment_sessions,ros_generation,cell_viability_percent,cell_death_percent,tumor_volume_mm3,has_size_data,has_zeta_data,has_ultrasound_data,has_ros_data,has_viability_data,has_volume_data,data_completeness_score
Core−Satellite Nanoassembly Overcomes Spatial Heterogeneity of Dendric Cell Distribution in Pancreatic Tumors for Effective Chemoimmunotherapy.pdf,nanocrystal,AlN,AlN,nanocrystal,,,,,pancreatic_cancer,pancreatic_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,40.0,,100.75,2.0,21.666666666666668,,,,,,no,no,yes,no,no,no,1
MOF-Derived Double-Layer Hollow Nanoparticles with OxygenGeneration Ability for Multimodal Imaging-Guided SonodynamicTherapy.pdf,"nanoparticle, nanocrystal","SiO2, AuS",SiO2,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,1035.2857142857142,,,,,,no,no,yes,no,no,no,1
Ultrasound-Triggered Piezocatalysis for Selectively Controlled NO Gas and Chemodrug Release to Enhance Drug Penetration in Pancreatic Cancer.pdf,nanocrystal,AuS,AuS,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,47.03846153846154,,6.117647058823529,,,,,,no,no,yes,no,no,no,1
Cycloacceleration of Reactive Oxygen Species GenerationBased on Exceedingly Small Magnetic Iron OxideNanoparticles for Tumor Ferroptosis Therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,,,,,,,no,no,no,no,no,no,0
Modulation of Intratumoral Fusobacterium nucleatum to Enhance Sonodynamic Therapy for Colorectal Cancer with Reduced Phototoxic Skin Injury.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,12.0,2.0,1.0,3.2222222222222223,17.714285714285715,,,,,,no,no,yes,no,no,no,1
Oxygen Vacancy Defect-Induced Activity Enhancement of Gd Doping Magnetic Nanocluster for Oxygen Supplying Cancer Theranostics.pdf,nanocrystal,AuS,AuS,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,3.0,,,,240.0,2.0,14.0,,,,no,no,yes,yes,no,no,2
Hierarchical Responsive Nanoplatform with Two-Photon Aggregation-Induced Emission Imaging for Efficient Cancer Theranostics.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,,,,,,,no,no,no,no,no,no,0
“US-detonated nano bombs” facilitate targeting treatment of resistant breast cancer.pdf,nanocrystal,AuS,AuS,nanocrystal,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,10.833333333333334,2.0,,1.0,15.7,,,,,,no,no,yes,no,no,no,1
Metalloporphyrin Complex-Based Nanosonosensitizers for Deep-Tissue Tumor Theranostics by Noninvasive Sonodynamic Therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,75.8125,,6.9,,,,,,no,no,yes,no,no,no,1
Combination of MHI148 Targeted Photodynamic Therapy and STING Activation Inhibits Tumor Metastasis and Recurrence.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,,,9.0,,,,,,no,no,yes,no,no,no,1
ROS-Responsive Fluorescent Sensor Array for Precise Diagnosis of Cancer via pH-Controlled Multicolor Gold Nanoclusters.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,16.09090909090909,,200.0,,,,no,no,yes,yes,no,no,2
Bi-Pt Heterojunction Cascade Reaction Platform forSono-Immunotherapy of Tumors via PANoptosis andFerroptosis.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,12.15625,,,,,,no,no,yes,no,no,no,1
Mesoporous polydopamine carrying sorafenib and SPIO nanoparticles for MRI-guided ferroptosis cancer therapy.pdf,,,,,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,,1.0,7.2727272727272725,,,,,,no,no,yes,no,no,no,1
"Responsive Magnetic Particle Imaging Tracer: Overcoming“Always-On” Limitation, Eliminating Interference, andEnsuring Safety in Adaptive Therapy.pdf","nanoparticle, nanocrystal","Fe3O4, Fe2O3, RuS",Fe3O4,nanoparticle,,,,,cervical_cancer,cervical_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,65.26315789473684,,,,,,no,no,yes,no,no,no,1
Wireless Stimulation of Barium Titanate@PEDOT Nanoparticles Toward Bioelectrical Modulation in Cancer.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.5,,13.804878048780488,,231.0,100.0,0.0,,no,no,yes,yes,yes,no,3
Tumor microenvironment responsive nano-PROTAC for BRD4 degradation enhanced cancer photo-immunotherapy.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,12.25,,4.0,,,,no,no,yes,yes,no,no,2
Targeted Intracellular Copper Reservoir Enhances Liver Cancer Immunotherapy.pdf,"nanoparticle, nanocrystal","AuS, PtS",AuS,nanoparticle,,,,,"liver_cancer, cervical_cancer",liver_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,1.0,,12.027027027027026,,,,,,no,no,yes,no,no,no,1
A hypoxia responsive nanoassembly for tumor specific oxygenation and enhanced sonodynamic therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,50.0,,150.5,,16.25,,,,,,no,no,yes,no,no,no,1
Long-Circulating Au-TiO2 Nanocomposite as a Sonosensitizer for ROS-Mediated Eradication of Cancer.pdf,"nanoparticle, nanocrystal",TiO2,TiO2,nanoparticle,,,,,,,"intravenous, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,3.0,,,,4.333333333333333,,,,,,no,no,yes,no,no,no,1
"Tumor-Specific Endogenous FeII-Activated, MRI-Guided Self-Targeting Gadolinium-Coordinated Theranostic Nanoplatforms for Amplification of ROS and Enhanced Chemodynamic Chemotherapy.pdf","nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,5.085714285714286,,400.0,,17.8,,,,,,no,no,yes,no,no,no,1
A singular plasmonic-thermoelectric hollow nanostructure inducing apoptosis and cuproptosis for catalytic cancer therapy.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,5.0,,,6.578947368421052,,1064.0,,,,no,no,yes,yes,no,no,2
Cascade Energy Transformation in Hybrid Nanosensitizer Enables Ultrasound-Activated Luminescence Imaging and Enhanced Sonodynamic Therapy..pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,2.0,,,,,,no,no,yes,no,no,no,1
Dual-Functional Supernanoparticles with Microwave Dynamic Therapy and Microwave Thermal Therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,950.0,,8.5,,,,,,no,no,yes,no,no,no,1
Metal and Covalent Organic Frameworks Meet OB‐GYN  Advancing Applications in Women s Health and.pdf,nanocrystal,AlN,AlN,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,8.75,,,,,,no,no,yes,no,no,no,1
UiO-66 MOFs-Based “Epi-Nano Sonosensitizer” for Ultrasound-Drive Cascade Immunotherapy against B‑Cell Lymphoma.pdf,nanocrystal,,,nanocrystal,,,,,leukemia,leukemia,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,10.0,11.0,1.0,1.0,350.67857142857144,19.0,,,,,no,no,yes,no,no,no,1
W Doped TiO2 Nanorods for Multimode Tumor Eradication in Osteosarcoma Models under Single Ultrasound Irradiation.pdf,"nanoparticle, nanorod, nanocrystal",TiO2,TiO2,nanoparticle,,,,,sarcoma,sarcoma,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,97.5,,,,,,no,no,yes,no,no,no,1
Reactive Oxygen Species-Manipulated Drug Release from a Smart Envelope-Type Mesoporous Titanium Nanovehicle for Tumor Sonodynamic-Chemotherapy.pdf,"nanoparticle, nanocrystal","TiO2, CdS, CuS",TiO2,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,11.177777777777777,2.0,,1.0,29.0,,,,,,no,no,yes,no,no,no,1
